gene	PC1	PC2	PC3	PC4
C1QTNF4	0.035545996	-0.0090685121	-0.00040739302	-0.0042018474
C1orf61	0.046290487	-0.03994059	-0.015127882	-0.018734384
C2CD4A	0.0059121378	-0.011469079	-0.012953912	0.040490621
C2CD4B	0.011768998	-0.0035311694	0.0046244992	0.023462357
C3	0.011363777	0.037431436	-0.0064147174	0.082317027
C4BPA	0.0040937479	-0.014590524	0.062637685	0.056491084
C4BPB	0.0064191578	-0.0047168281	0.025818378	0.01726771
C5	0.010474395	-0.0023477467	0.022784179	0.027421754
C6orf141	-0.00030352857	-0.003808042	-0.012654924	-0.0078134966
C7	0.024382583	0.043573654	0.010137709	0.01724283
C9orf135	0.016222631	0.0010719451	0.016760937	0.0098048365
CA11	0.023967847	-0.021607906	0.0077289933	-0.029738097
CA12	0.00067768219	-0.0017060696	-0.032031626	0.069068876
CA6	0.020960829	-0.0031767625	0.0060205967	0.0113207
CA8	0.013952048	-0.010714208	0.0093356156	0.029742259
CA9	0.0084345596	0.00053023228	0.0059497837	-0.0015527687
CABP1	0.031778035	-0.01265375	-0.0021858814	0.0014895411
CACNA1A	0.030693894	-0.0087414657	-0.0013968924	0.0027575965
CACNA1B	0.028766425	-0.011525765	-0.0053258394	0.001394479
CACNA1D	0.012904231	-0.01295872	0.020267968	0.021156077
CACNA1E	0.028699059	-0.012743311	0.00530022	0.0015159894
CACNA1H	0.014368437	-0.0077657632	-0.0065703623	0.02546643
CACNA2D1	0.031601385	0.00075177365	-0.011810457	-0.0045795988
CACNA2D2	0.015041632	-0.010706284	0.043532172	0.036990605
CACNB3	0.0016284665	-0.019104983	0.029282877	-0.021599697
CACNG3	0.030495084	-0.0082613965	0.00088129789	0.0024022077
CACNG4	0.01242973	-0.0038279768	-0.002315399	-0.011588164
CACNG7	0.030793094	-0.0031979547	0.004016687	0.0033466967
CADM1	0.019998326	-0.013045211	0.038466548	-0.0063919726
CADM2	0.040494867	-0.016540215	-0.0017137199	-0.0028626384
CADM3	0.04844636	-0.021856531	-0.0067149084	-0.014332921
CADPS	0.036733237	-0.013380647	1.5615168e-05	0.00017152072
CALB1	0.016950135	-0.0050683489	0.029726443	0.033435997
CALCA	0.0085382299	-0.011916615	0.0583616	0.062140936
CALHM6	0.015743274	0.027136362	-0.006307452	-0.0029310341
CALM1	0.036519228	-0.032891559	-0.018173506	-0.036435599
CALML3	0.0050823557	0.011127371	-0.02324092	0.014519373
CALML5	0.013132589	0.0038429778	-0.011229896	0.016081525
CALY	0.042259852	-0.024643634	0.0021065518	0.0027408093
CAMK1G	0.024352682	-0.0037203949	0.005447145	0.0042398913
CAMK2A	0.042274672	-0.024544666	-0.0054568521	-0.011725501
CAMK2B	0.038581377	-0.023182337	-0.0041863302	-0.0060936791
CAMKV	0.032868995	-0.015790382	-0.0061517027	-0.006824841
CAP2	0.025910683	-0.019037431	-0.005000657	-0.0051327155
CAPN13	-0.0041362303	-0.011847324	0.0089908929	0.039907789
CAPN6	0.016801773	-0.0017881509	0.015873296	0.016787853
CAPN9	0.010420783	-0.0082698732	0.024932074	0.020679776
CAPRIN2	0.0085348567	-0.0018240726	0.0026869414	0.0014508877
CAPS	-0.0079661621	-0.0036113026	-0.0046435826	0.013101763
CARNS1	0.030012206	-0.006657294	0.0075434137	0.0041474579
CASP14	0.0085189739	0.0011088565	-0.03136135	0.017422103
CASP9	0.0049898668	-0.0010587632	-0.01028332	0.015156838
CAV1	-0.0028077406	0.024537044	-0.034609378	-0.0048231
CAVIN1	0.0045057387	0.037971494	0.0021530792	-0.034839248
CAVIN2	0.010581537	0.0010255491	0.0097378859	-0.02616096
CAVIN3	0.0029732486	0.035369896	0.011121072	-0.02761583
CBLN2	0.02307878	0.00035050174	0.0081964582	0.0093081293
CCBE1	0.0188733	0.0038883035	0.00052287268	-0.0018492448
CCDC102B	0.019417926	0.033694058	-0.0019093585	0.013663251
CCDC153	0.021916622	-0.00062057276	0.00320907	-0.00014401928
CCDC71L	-0.0085718142	0.014820833	-0.017152788	-0.010824788
CCDC80	0.021133382	0.063755109	-0.010346563	0.0084418333
CCK	0.03460459	-0.012906118	-0.00296308	-0.0050482573
CCL11	0.015820838	0.016874301	0.0053113269	0.011613256
CCL13	0.016382309	0.036473255	0.0027535893	-0.01188531
CCL18	0.012983229	0.081964843	0.00017526745	-0.001741795
CCL19	0.017833692	0.032696529	0.012975151	0.015310581
CCL2	0.025303594	0.061362073	0.0011191017	-0.011085539
CCL20	-0.0055850191	-0.0056833527	0.032479105	0.0051424078
CCL21	0.015268806	0.031598727	0.01248365	0.009426844
CCL28	0.00048558849	-0.0052485084	0.014172528	-0.034975621
CCL5	0.0092823548	0.057108979	-0.014706283	0.0061492341
CCL8	0.011015617	0.02296735	0.0049779121	-0.003867703
CCN3	0.019410756	-0.0039826486	0.0034405176	-0.00010352456
CCNE1	0.0057129202	0.0015732384	-0.010853737	0.0059692118
CCT8L2	0.013454541	0.015481199	0.013427329	0.020327896
CD163	0.019729229	0.061731682	-0.010590447	-0.0047374406
CD177	0.014682025	0.011843754	0.0090539054	0.020930997
CD200	0.030740429	0.011059407	0.002301187	-0.0028202591
CD24	-0.031892004	-0.025287477	-0.016020251	0.010984571
CD52	0.017835491	0.046370568	-0.00082877728	0.0021227535
CD79A	0.022488915	0.061663699	0.010398129	0.012219764
CD8A	0.015662475	0.040417059	0.00115177	0.0026502695
CD93	0.022728433	0.046093655	-0.00039757506	0.004345086
CDA	0.0020647288	-0.0042185104	-0.009002353	0.0066826573
