complex_name	subunits	n_subunits
5-HT-TPH1_SLC6A4	TPH1;SLC6A4	2
5-HT-TPH2_SLC18A1	TPH2;SLC18A1	2
5-HT-TPH2_SLC18A2	TPH2;SLC18A2	2
5-HT-TPH2_SLC6A4	TPH2;SLC6A4	2
Ach-CHAT_SLC10A4	SLC10A4;SLC10A4;CHAT	3
CHRN_A1_2B1DE	CHRNA1;CHRNB1;CHRND;CHRNE	4
CHRN_A1_2B1DG	CHRNA1;CHRNB1;CHRND;CHRNG	4
Ach-CHAT_SLC18A3	SLC18A3;CHAT	2
Ach-CHAT_SLC5A7	SLC5A7;CHAT	2
GABR_A1B3G2	GABRA1;GABRB3;GABRG2	3
GABR_A1B2G2	GABRA1;GABRB2;GABRG2	3
GABR_A1B2	GABRA1;GABRB2	2
GABR_A1B3	GABRA1;GABRB3	2
GABR_A1B2D	GABRA1;GABRB2;GABRD	3
GABR_A2B3G2	GABRA2;GABRB3;GABRG2	3
GABR_A3B3G2	GABRA3;GABRB3;GABRG2	3
GABR_A3B3Q	GABRA3;GABRB3;GABRQ	3
GABR_A3B3E	GABRA3;GABRB3;GABRE	3
GABR_A4B3G2	GABRA4;GABRB3;GABRG2	3
GABR_A4B3D	GABRA4;GABRB3;GABRD	3
GABR_A4B2D	GABRA4;GABRB2;GABRD	3
GABR_A5B3G2	GABRA5;GABRB3;GABRG2	3
GABR_A6B3G2	GABRA6;GABRB3;GABRG2	3
GABR_A6B3D	GABRA6;GABRB3;GABRD	3
GABA-GAD1_SLC32A1	SLC32A1;GAD1	2
GABA-GAD1_SLC6A1	SLC6A1;GAD1	2
GABA-GAD1_SLC6A11	SLC6A11;GAD1	2
GABA-GAD1_SLC6A12	SLC6A12;GAD1	2
GABA-GAD1_SLC6A13	SLC6A13;GAD1	2
GABA-GAD1_SLC6A6	SLC6A6;GAD1	2
GABA-GAD1_SLC6A8	SLC6A8;GAD1	2
GABA-GAD2_SLC32A1	SLC32A1;GAD2	2
GABA-GAD2_SLC6A1	SLC6A1;GAD2	2
GABA-GAD2_SLC6A11	SLC6A11;GAD2	2
GABA-GAD2_SLC6A12	SLC6A12;GAD2	2
GABA-GAD2_SLC6A13	SLC6A13;GAD2	2
GABA-GAD2_SLC6A6	SLC6A6;GAD2	2
GABA-GAD2_SLC6A8	SLC6A8;GAD2	2
Gly-SHMT1_SLC6A5	SLC6A5;SHMT1	2
Gly-SHMT1_SLC6A9	SLC6A9;SHMT1	2
Gly-SHMT2_SLC6A5	SLC6A5;SHMT2	2
Gly-SHMT2_SLC6A9	SLC6A9;SHMT2	2
ADO-NT5E_SLC29A1	SLC29A1;NT5E	2
ADO-NT5E_SLC29A2	SLC29A2;NT5E	2
ADO-NT5E_SLC29A3	SLC29A3;NT5E	2
ADO-NT5E_SLC29A4	SLC29A4;NT5E	2
ADR-PNMT_SLC18A1	PNMT;SLC18A1	2
ADR-PNMT_SLC18A2	PNMT;SLC18A2	2
NE-DBH_SLC18A1	DBH;SLC18A1	2
NE-DBH_SLC18A2	DBH;SLC18A2	2
NE-DBH_SLC6A2	DBH;SLC6A2	2
DOPA-DDC_SLC18A1	DDC;SLC18A1	2
DOPA-DDC_SLC18A2	DDC;SLC18A2	2
DOPA-DDC_SLC6A3	DDC;SLC6A3	2
Glu-SLC17A6_GLS	SLC17A6;GLS	2
Glu-SLC17A7_GLS	SLC17A7;GLS	2
Glu-SLC17A8_GLS	SLC17A8;GLS	2
Glu-SLC1A1_GLS	SLC1A1;GLS	2
Glu-SLC1A2_GLS	SLC1A2;GLS	2
Glu-SLC1A3_GLS	SLC1A3;GLS	2
Glu-SLC1A6_GLS	SLC1A6;GLS	2
Glu-SLC1A7_GLS	SLC1A7;GLS	2
Glu-SLC17A6_GLS2	SLC17A6;GLS2	2
Glu-SLC17A7_GLS2	SLC17A7;GLS2	2
Glu-SLC17A8_GLS2	SLC17A8;GLS2	2
Glu-SLC1A1_GLS2	SLC1A1;GLS2	2
Glu-SLC1A2_GLS2	SLC1A2;GLS2	2
Glu-SLC1A3_GLS2	SLC1A3;GLS2	2
Glu-SLC1A6_GLS2	SLC1A6;GLS2	2
Glu-SLC1A7_GLS2	SLC1A7;GLS2	2
b-Endorphin-POMC	POMC	1
PGD2-PTGDS	PTGDS	1
GRIK1_GRIK4	GRIK1;GRIK4	2
GRIK2_GRIK4	GRIK2;GRIK4	2
GRIK3_GRIK4	GRIK3;GRIK4	2
GRIK1_GRIK5	GRIK1;GRIK5	2
GRIK2_GRIK5	GRIK2;GRIK5	2
GRIK3_GRIK5	GRIK3;GRIK5	2
GRIN1_GRIN2A	GRIN1;GRIN2A	2
GRIN1_GRIN2B	GRIN1;GRIN2B	2
GRIN1_GRIN2C	GRIN1;GRIN2C	2
GRIN1_GRIN2D	GRIN1;GRIN2D	2
MMP14_ITGAV_ITGB3	MMP14;ITGAV;ITGB3	3
Glu-NRXN1_CBLN1	NRXN1;CBLN1	2
GLRA1_GLRB	GLRA1;GLRB	2
Hist-HDC	HDC	1
PGI2-PTGIS	PTGIS	1
T3-DIO3	DIO3;TG	2
