aoi_label	aoi_code	patient_id	site	compartment	dsp_run	qc_flag	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
TIME-L12b	TIME-L	P12	lung	immune	DSP-1012300141221	False	8.7538614	15.572372	-0.32501784	2.8681409	-1.0194072	-2.6758716	2.779289	-0.69329876	3.624115	-2.4831522	-2.9542353	-4.6950293	3.6609483	0.04337455	3.013319	0.94265926	0.33472306	-0.87434959	1.8478597	-0.30777392	0.99941146	-0.99211651	-2.4204781	-2.3516374	0.13744973	-0.55364865	-1.4319506	-2.5899637	0.047537945	2.2608953
TIME-L18	TIME-L	P18	lung	immune	DSP-1012300141221	False	7.1135516	6.9233751	9.1721964	8.0749979	1.9410312	-2.3164299	-4.1714106	-7.2051497	-1.4142878	-3.9370408	4.0752807	0.70426637	-1.4913194	0.80675924	-0.92458236	-0.19398195	1.0735621	-2.5466931	1.9742417	2.0265598	4.6022983	2.8934674	2.5248003	5.7853208	0.29604602	-0.90816975	-2.8471465	1.4229904	2.4355929	4.8080635
TIME-L24a	TIME-L	P24	lung	immune	DSP-1012300141221	False	8.9444094	23.645491	1.1785486	0.44282302	-4.4479356	1.532905	2.0205288	5.1923842	-2.1112669	0.23934008	0.83196843	-3.0349348	-1.3579443	1.8969203	0.065412261	0.81504041	3.6517797	-0.24277848	-2.5874388	-2.2173796	3.7463439	-3.5923665	3.0012457	-4.9612174	-3.8304803	1.3128123	-1.6005713	-1.9525234	1.7222214	-0.039092291
TIME-L24b	TIME-L	P24	lung	immune	DSP-1012300141221	False	5.1874642	24.469282	-0.78762215	0.72055608	-7.237052	-3.6957996	3.8467638	3.6390946	-0.12915699	-3.7834122	-0.49631792	-3.4233878	0.3406623	1.2074769	3.7520018	0.093970291	2.1240892	-4.0614934	-0.31912693	-2.3677533	3.3297973	-4.4149122	0.49632421	-6.7878675	-4.3715386	-2.4407179	-2.3597476	-1.6004864	1.8656865	1.4612409
TIME-L26	TIME-L	P26	lung	immune	DSP-1012300141221	False	4.047276	26.291269	-0.17263073	-2.4733167	-3.2230358	1.282391	0.57321817	0.10294825	-1.7674894	-8.3929853	5.9156728	4.7588072	3.2817733	5.4128675	-1.3804135	-3.5976555	-5.3143201	6.0189338	1.1956615	4.7194185	4.7510257	1.6089756	-0.29210767	0.30223244	1.8804082	0.34957024	0.88806796	2.4657483	-3.0548141	-3.5272779
TIME-L29	TIME-L	P29	lung	immune	DSP-1012310141221	False	7.4362907	24.232216	-0.71968597	2.1246748	-4.794735	-2.7901669	3.540509	1.5008177	3.0043464	-8.2216034	-0.16207585	0.66740245	0.92758584	2.7709641	1.8674126	0.59525645	-0.43062869	-0.80228126	1.5078293	3.48492	-0.65809166	-0.55630785	-0.52058119	-0.64920819	1.1442465	-1.5635461	0.94363689	1.288281	-0.99123234	-1.6359715
TIME-L32	TIME-L	P32	lung	immune	DSP-1012310141221	False	5.1585693	22.468462	1.0629437	0.74231321	-4.6486697	-2.9637606	5.1110244	2.5158973	1.9747638	-5.2187877	-1.4078329	-0.97230351	3.0139024	0.82769668	1.3153853	-0.72403812	-0.26256603	-1.8464736	2.7361484	3.0365369	-0.92405719	-0.84475356	-0.27808112	-1.900409	-1.360502	-1.1837869	-0.52192426	0.63322616	0.94145113	0.65660983
TIME-L43	TIME-L	P43	lung	immune	DSP-1012310141221	False	12.408381	17.690777	0.53582519	3.6712396	1.3795818	-0.69553012	0.42147294	-1.786037	2.4197738	-4.9378953	-2.2737086	2.560617	-0.80911314	-0.78651029	0.13842961	1.5067439	0.8168512	0.33197221	1.0498716	0.80286211	-1.8036776	0.57462329	-0.21001488	2.1416073	1.3310207	-1.6156648	-0.049608156	2.2197533	0.74188024	-0.30734593
TIME-L30	TIME-L	P30	lung	immune	DSP-1012310141221	False	10.429771	22.818205	0.24412553	3.1806409	-1.9625306	-1.6254238	1.9397864	0.39292639	2.1984942	-6.5884466	-0.37280503	2.9332321	-0.34584641	1.6545401	-0.70253694	1.9348704	-0.98671806	-0.074198596	0.90731072	3.0930498	-1.9550377	-0.092721835	1.5279583	1.7185434	1.6420575	-1.4363571	2.0254617	2.5195854	-0.35499337	-1.9201605
TIME-L35	TIME-L	P35	lung	immune	DSP-1012310141221	False	11.509527	9.5983152	2.3408821	5.8941016	3.3984509	-1.5115418	-0.89458048	-2.6550894	2.9335866	-1.531067	-2.8601115	-0.49922085	-1.3643278	-2.6104863	0.19581871	2.3910868	0.013559013	-0.31811339	0.30100724	0.11559286	0.02266635	0.99018663	-1.2652377	3.5619221	-0.22788662	-2.5997109	-0.96310538	-0.10937759	0.34432551	1.2062548
