rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
201	LAMB2_ITGA6_ITGB1	LAMB2 - (ITGA6+ITGB1)	LAMININ	ECM-Receptor	lung	ligand_tumour__receptor_immune	LAMB2	ITGA6_ITGB1	LAMB2	ITGA6;ITGB1	L	TIME-L	exploratory	13	0.11538461538461539	0.11538461538461539	0.7073898735142603	8	0.6153846153846154	0.2380952380952381	0.5701563208157682	0.12271062271062272	fitted	LAMB2:24/30	ITGA6:12/15;ITGB1:15/15			True	KEGG: hsa04512
202	MIF_CD74_CXCR2	MIF - (CD74+CXCR2)	MIF	Secreted Signaling	lung	ligand_tumour__receptor_immune	MIF	CD74_CXCR2	MIF	CD74;CXCR2	L	TIME-L	exploratory	13	-0.11538461538461539	0.11538461538461539	0.7073898735142603	9	0.6923076923076923	-0.25	0.5164895523012261	-0.1346153846153846	fitted	MIF:30/30	CD74:15/15;CXCR2:11/15			True	PMID: 29637711; PMID: 26175090
203	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB1	ACVR1B_TGFbR2	TGFB1	ACVR1B;TGFBR2	TIME-L	L	exploratory	13	-0.1043956043956044	0.1043956043956044	0.7343037452877025	11	0.8461538461538461	-0.4727272727272727	0.14199852020631987	-0.3683316683316683	fitted	TGFB1:15/15	ACVR1B:29/30;TGFBR2:28/30	growth factor	False	True	PMID: 27449815
204	THBS3_ITGA3_ITGB1	THBS3 - (ITGA3+ITGB1)	THBS	ECM-Receptor	lung	ligand_immune__receptor_tumour	THBS3	ITGA3_ITGB1	THBS3	ITGA3;ITGB1	TIME-L	L	exploratory	13	-0.09890109890109891	0.09890109890109891	0.7478683035983906	12	0.9230769230769231	-0.16783216783216784	0.6020994277865379	-0.06893106893106893	fitted	THBS3:14/15	ITGA3:30/30;ITGB1:30/30			True	KEGG: hsa04512
205	LAMB2_ITGA6_ITGB4	LAMB2 - (ITGA6+ITGB4)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMB2	ITGA6_ITGB4	LAMB2	ITGA6;ITGB4	LB	TIME-B	exploratory	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	5	0.625				below_min_n (5 < 6)	LAMB2:22/27	ITGA6:7/8;ITGB4:6/8			True	KEGG: hsa04512
206	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	brain	ligand_immune__receptor_tumour	MIF	CD74_CXCR4	MIF	CD74;CXCR4	TIME-B	LB	exploratory	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	8	1.0	-0.09523809523809526	0.8225054302036114	0.0	fitted	MIF:8/8	CD74:26/27;CXCR4:27/27			True	PMID: 29637711; PMID: 24760155
207	LAMB1_ITGA2_ITGB1	LAMB1 - (ITGA2+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMB1	ITGA2_ITGB1	LAMB1	ITGA2;ITGB1	TIME-B	LB	exploratory	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	4	0.5				below_min_n (4 < 6)	LAMB1:8/8	ITGA2:15/27;ITGB1:26/27			True	KEGG: hsa04512
208	WNT10A_FZD6_LRP5	WNT10A - (FZD6+LRP5)	WNT	Secreted Signaling	brain	ligand_immune__receptor_tumour	WNT10A	FZD6_LRP5	WNT10A	FZD6;LRP5	TIME-B	LB	exploratory	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	4	0.5				below_min_n (4 < 6)	WNT10A:4/8	FZD6:20/27;LRP5:23/27	secreted	False	True	KEGG: hsa04310; PMID: 23209147
209	COL1A1_ITGA2_ITGB1	COL1A1 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL1A1	ITGA2_ITGB1	COL1A1	ITGA2;ITGB1	TIME-B	LB	exploratory	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	4	0.5				below_min_n (4 < 6)	COL1A1:8/8	ITGA2:15/27;ITGB1:26/27	secreted	False	True	KEGG: hsa04512
210	SEMA4A_NRP1_PLXNA1	SEMA4A - (NRP1+PLXNA1)	SEMA4	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	SEMA4A	NRP1_PLXNA1	SEMA4A	NRP1;PLXNA1	LB	TIME-B	exploratory	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	1	0.125				below_min_n (1 < 6)	SEMA4A:14/27	NRP1:8/8;PLXNA1:4/8		True	True	PMID: 27533782
