gene	alias	aoi_label	aoi_code	q3	quantum	implied_counts	counts_reliable	n_genes_sharing_value	negprobe_implied_counts	assessable_in_compartment
HAVCR2	TIM-3	mLN14	mLN	51.789999999999999	0.54999999999999716	94.163636363636854	True	123	81.272727272727693	False
IDO1	IDO1	mLN14	mLN	45.25	0.54999999999999716	82.272727272727693	True	196	81.272727272727693	False
LAG3	LAG-3	mLN14	mLN	37.07	0.54999999999999716	67.400000000000347	True	206	81.272727272727693	False
PDCD1	PD-1	mLN14	mLN	68.150000000000006	0.54999999999999716	123.90909090909156	True	86	81.272727272727693	True
TIGIT	TIGIT	mLN14	mLN	47.969999999999999	0.54999999999999716	87.218181818182273	True	172	81.272727272727693	False
VSIR	VISTA	mLN14	mLN	69.780000000000001	0.54999999999999716	126.87272727272793	True	87	81.272727272727693	False
CD274	PD-L1	mLN20	mLN	97.189999999999998	1.2300000000000004	79.016260162601597	True	129	34.691056910569095	True
CD276	B7-H3	mLN20	mLN	179.62	1.2300000000000004	146.03252032520319	True	15	34.691056910569095	True
CTLA4	CTLA-4	mLN20	mLN	136.56	1.2300000000000004	111.0243902439024	True	47	34.691056910569095	False
HAVCR2	TIM-3	mLN20	mLN	116.88	1.2300000000000004	95.024390243902403	True	66	34.691056910569095	False
IDO1	IDO1	mLN20	mLN	57.82	1.2300000000000004	47.008130081300799	True	391	34.691056910569095	False
LAG3	LAG-3	mLN20	mLN	65.209999999999994	1.2300000000000004	53.016260162601604	True	346	34.691056910569095	False
PDCD1	PD-1	mLN20	mLN	78.739999999999995	1.2300000000000004	64.016260162601597	True	223	34.691056910569095	True
TIGIT	TIGIT	mLN20	mLN	99.650000000000006	1.2300000000000004	81.016260162601597	True	115	34.691056910569095	False
VSIR	VISTA	mLN20	mLN	167.31999999999999	1.2300000000000004	136.03252032520319	True	20	34.691056910569095	False
