rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
382	HLA-A_KIR3DL1	HLA-A - KIR3DL1	MHC-I	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	HLA-A	KIR3DL1	HLA-A	KIR3DL1	TIME-B	LB	primary	8	0.11904761904761905	0.11904761904761905	0.7788857260523796	8	1.0	0.11904761904761905	0.7788857260523796	0.0	fitted	HLA-A:8/8	KIR3DL1:27/27		True	True	PMID: 28484462
383	IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	brain	ligand_immune__receptor_tumour	IGF2	IGF2R	IGF2	IGF2R	TIME-B	LB	primary	8	-0.11904761904761905	0.11904761904761905	0.7788857260523796	4	0.5				below_min_n (4 < 6)	IGF2:4/8	IGF2R:26/27	growth factor;hormone	False	True	PMID: 14604834
384	COL4A1_CD44	COL4A1 - CD44	COLLAGEN	ECM-Receptor	lung	ligand_immune__receptor_tumour	COL4A1	CD44	COL4A1	CD44	TIME-L	L	primary	13	0.11538461538461539	0.11538461538461539	0.7073898735142603	12	0.9230769230769231	-0.013986013986013986	0.9655902689187796	-0.12937062937062938	fitted	COL4A1:15/15	CD44:29/30	secreted	False	True	KEGG: hsa04512
385	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	HLA-E	CD8A	HLA-E	CD8A	L	TIME-L	primary	13	-0.11538461538461539	0.11538461538461539	0.7073898735142603	10	0.7692307692307693	-0.11515151515151514	0.7514196523258484	0.0002331002331002474	fitted	HLA-E:30/30	CD8A:12/15		True	True	KEGG: hsa04514
386	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	HLA-F	CD8A	HLA-F	CD8A	L	TIME-L	primary	13	-0.1045393010973386	0.1045393010973386	0.7339499266784841	9	0.6923076923076923	-0.6333333333333333	0.06708578689234572	-0.5287940322359947	fitted	HLA-F:23/30	CD8A:12/15		True	True	KEGG: hsa04514
387	SCT_SCTR	SCT - SCTR	SCT	Secreted Signaling	lung	ligand_immune__receptor_tumour	SCT	SCTR	SCT	SCTR	TIME-L	L	primary	13	0.1043956043956044	0.1043956043956044	0.7343037452877025	4	0.3076923076923077				below_min_n (4 < 6)	SCT:9/15	SCTR:20/30	hormone	False	True	KEGG: hsa04080
388	SLURP1_CHRNB4	SLURP1 - CHRNB4	SLURP	Secreted Signaling	lung	ligand_immune__receptor_tumour	SLURP1	CHRNB4	SLURP1	CHRNB4	TIME-L	L	primary	13	-0.1043956043956044	0.1043956043956044	0.7343037452877025	9	0.6923076923076923	-0.03333333333333333	0.9321567355405039	0.07106227106227106	fitted	SLURP1:14/15	CHRNB4:22/30			True	KEGG: hsa04080
389	HLA-DMB_CD4	HLA-DMB - CD4	MHC-II	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	HLA-DMB	CD4	HLA-DMB	CD4	L	TIME-L	primary	13	-0.1043956043956044	0.1043956043956044	0.7343037452877025	13	1.0	-0.1043956043956044	0.7343037452877025	0.0	fitted	HLA-DMB:29/30	CD4:15/15				KEGG: hsa04514
390	THBS2_SDC4	THBS2 - SDC4	THBS	ECM-Receptor	lung	ligand_immune__receptor_tumour	THBS2	SDC4	THBS2	SDC4	TIME-L	L	primary	13	-0.1043956043956044	0.1043956043956044	0.7343037452877025	12	0.9230769230769231	-0.04895104895104895	0.8799185788786748	0.05544455544455545	fitted	THBS2:14/15	SDC4:30/30		False		KEGG: hsa04512
391	COL1A2_CD44	COL1A2 - CD44	COLLAGEN	ECM-Receptor	lung	ligand_immune__receptor_tumour	COL1A2	CD44	COL1A2	CD44	TIME-L	L	primary	13	0.1043956043956044	0.1043956043956044	0.7343037452877025	12	0.9230769230769231	0.14685314685314685	0.6487957097846665	0.04245754245754245	fitted	COL1A2:15/15	CD44:29/30	secreted	False	True	KEGG: hsa04512
392	THBS3_SDC1	THBS3 - SDC1	THBS	ECM-Receptor	lung	ligand_tumour__receptor_immune	THBS3	SDC1	THBS3	SDC1	L	TIME-L	primary	13	0.1043956043956044	0.1043956043956044	0.7343037452877025	9	0.6923076923076923	-0.5166666666666667	0.15439012098622507	-0.6210622710622711	fitted	THBS3:27/30	SDC1:11/15			True	KEGG: hsa04512
