compartment	gene	patient_id	lung	brain	delta_brain_minus_lung	detected_lung	detected_brain
tumour	CTLA4	P9	4.676380255466924	4.8201789624151878	0.1437987069482638	False	False
tumour	HAVCR2	P1	6.0351839966183363	7.0630714498426785	1.0278874532243423	False	True
tumour	HAVCR2	P12	5.2570106182060243	5.0263574469638392	-0.2306531712421851	False	False
tumour	HAVCR2	P13	5.1135338195919138	5.5628529595839247	0.4493191399920109	False	False
tumour	HAVCR2	P14	6.1358631653686793	5.6322682154995132	-0.50359494986916609	False	False
tumour	HAVCR2	P15	5.5141222601707076	5.4292811933356582	-0.084841066835049439	False	False
tumour	HAVCR2	P16	5.6094003900064289	5.2671612180222604	-0.34223917198416842	False	False
tumour	HAVCR2	P17	5.3291235962915664	5.8412183739238879	0.51209477763232147	False	False
tumour	HAVCR2	P18	4.9245750033927349	5.6152985790921148	0.69072357569937992	False	False
tumour	HAVCR2	P19	5.2479275134435852	5.4760575956775446	0.22813008223395936	False	False
tumour	HAVCR2	P2	5.5737986435892974	5.2391688786654482	-0.33462976492384922	False	True
tumour	HAVCR2	P20	5.0053999877425897	5.6055535954944027	0.60015360775181303	False	False
tumour	HAVCR2	P21	5.2872506432546169	5.2295879227406523	-0.057662720513964594	False	False
tumour	HAVCR2	P24	6.2925977202664525	6.124121311829188	-0.16847640843726452	True	False
tumour	HAVCR2	P3	6.0139088454906391	5.892148127513825	-0.12176071797681409	False	False
tumour	HAVCR2	P34	5.6527732845107774	5.2682846665209961	-0.38448861798978129	False	False
tumour	HAVCR2	P35	5.7977912004788879	5.5397791916984938	-0.2580120087803941	False	False
tumour	HAVCR2	P37	5.410408949851039	5.825785627464791	0.41537667761375197	False	False
tumour	HAVCR2	P4	5.2664117660361143	5.521364878446219	0.25495311241010477	False	False
tumour	HAVCR2	P40	5.2330444012655812	6.2720231890610485	1.0389787877954673	False	False
tumour	HAVCR2	P44	5.7062542535732028	5.7037651787934101	-0.0024890747797927659	False	False
tumour	HAVCR2	P5	4.984133594540979	5.1554254317471973	0.17129183720621821	False	False
tumour	HAVCR2	P7	6.0323212870578784	5.1707262761315516	-0.86159501092632684	True	False
tumour	HAVCR2	P9	5.3736482113346904	4.8494989317201815	-0.52414927961450886	False	False
tumour	IDO1	P1	5.5397791916984938	8.499367566349127	2.9595883746506333	False	True
tumour	IDO1	P12	6.6779310100452971	5.4809113460477485	-1.1970196639975486	True	False
tumour	IDO1	P13	5.1135338195919138	5.2315092108670465	0.11797539127513268	False	False
tumour	IDO1	P14	6.405992359675837	6.4088816597750951	0.0028893000992580298	False	True
tumour	IDO1	P15	5.5450416834674643	5.6138262909340417	0.068784607466577441	False	False
tumour	IDO1	P16	7.9294359601775195	7.7650042462500357	-0.16443171392748379	True	True
tumour	IDO1	P17	5.0272425359737403	5.7527485914071335	0.72550605543339319	False	False
tumour	IDO1	P18	6.3273280826299523	5.5552026338782969	-0.77212544875165534	True	False
tumour	IDO1	P19	4.8176232575114311	5.4870360800318991	0.66941282252046808	False	False
tumour	IDO1	P2	5.7328118720829426	4.4309542713857297	-1.3018576006972129	True	False
tumour	IDO1	P20	5.0223678130284544	5.573192723781613	0.55082491075315865	False	False
tumour	IDO1	P21	5.2361098898896321	4.5668151540108965	-0.66929473587873556	False	False
tumour	IDO1	P24	5.5397791916984938	6.2701551387665297	0.73037594706803599	False	False
tumour	IDO1	P3	5.522620761042079	5.0729632715552242	-0.4496574894868548	False	False
tumour	IDO1	P34	5.7062542535732028	5.303050084681673	-0.40320416889152977	False	False
tumour	IDO1	P35	7.283273598920621	6.692371399708664	-0.59090219921195697	True	True
tumour	IDO1	P37	5.2380225178257209	5.2731428593080825	0.035120341482361539	False	False
tumour	IDO1	P4	4.7098420192733101	4.9245750033927349	0.21473298411942476	False	False
tumour	IDO1	P40	5.1949537959338352	6.1523862584284394	0.95743246249460423	False	False
tumour	IDO1	P44	4.7839804136837953	5.3792050599606096	0.59522464627681426	False	False
tumour	IDO1	P5	7.3106127816595281	4.6293566200796095	-2.6812561615799186	True	False
tumour	IDO1	P7	4.4235781709817976	4.5801454844233804	0.15656731344158281	False	False
tumour	IDO1	P9	5.0976107966264221	5.0895828931247085	-0.0080279035017136735	False	False
tumour	LAG3	P1	5.9877756161429128	7.0982426800035823	1.1104670638606695	False	True
tumour	LAG3	P12	5.4053116825974454	5.4198759304221946	0.014564247824749188	False	False
tumour	LAG3	P13	5.1562347978502698	5.4442695024134817	0.2880347045632119	False	False
