aoi_label	gsm_id	aoi_code	patient_id	compartment	dsp_run	raw	trimmed	stitched	aligned	deduplicated	n_probes	pct_aligned	pct_trimmed_retained	sequencing_saturation	umiq30	rtsq30	negprobe	q3_norm_sum	detection_at_1x	detection_at_1.25x	detection_at_1.5x	detection_at_1.75x	detection_at_2x	detection_at_2.5x	detection_at_3x	detection_at_4x	detection_at_5x	gene_detection_rate	qc_flag	qc_reason
TBME02	GSM6573703	TBME	P2	glial_stroma	DSP-1012300141221	11682806	11626649	11568895	10973364	2264508	18834	0.939275	0.995193	0.793636	0.9919	0.9918	38.71	1712225.25	0.92067	0.771584	0.594843	0.459024	0.351931	0.218252	0.142452	0.075158	0.048197	0.351931	False	
TBME20	GSM6573759	TBME	P20	glial_stroma	DSP-1012300141221	8760665	8720773	8678218	8189277	1918731	18834	0.934778	0.995446	0.765702	0.9919	0.9918	72.95	1668834.63	0.619343	0.249973	0.103295	0.05237	0.034717	0.019846	0.013534	0.00765	0.004547	0.034717	True	gene detection rate below threshold (0.03472 < 0.05)
TBME22	GSM6573772	TBME	P22	glial_stroma	DSP-1012300141221	2681046	2676828	2661506	2529913	814563	18834	0.943629	0.998427	0.678027	0.9927	0.9926	38.89	1718302.75	0.957366	0.886381	0.739328	0.558682	0.423451	0.212421	0.111587	0.051942	0.031989	0.423451	False	
TBME27	GSM6573786	TBME	P27	glial_stroma	DSP-1012300141221	9074567	9032829	8989511	8474800	2146380	18834	0.933907	0.995401	0.746734	0.9921	0.9919	67.62	1703920.98	0.675618	0.336311	0.155076	0.088157	0.059591	0.032845	0.020916	0.011555	0.007275	0.059591	False	
TBME03	GSM6573705	TBME	P3	glial_stroma	DSP-1012300141221	2201257	2165221	2152234	1948392	678413	18834	0.885127	0.983629	0.651809	0.993	0.9923	56.44	1863055.04	0.749599	0.509201	0.310848	0.191077	0.124585	0.063229	0.041457	0.024714	0.017599	0.124585	False	
TBME04	GSM6573709	TBME	P4	glial_stroma	DSP-1012300141221	11463347	11392751	11329586	10698459	2061254	18834	0.933275	0.993842	0.807332	0.9922	0.9921	66.32	1711731.19	0.72542	0.366214	0.170696	0.097357	0.063924	0.035573	0.023216	0.012464	0.009094	0.063924	False	
TBME05	GSM6573713	TBME	P5	glial_stroma	DSP-1012300141221	7015235	6890961	6857195	6476865	2166457	18834	0.923257	0.982285	0.665508	0.9933	0.9925	48.89	1964940.36	0.851182	0.612977	0.425163	0.300417	0.209265	0.11731	0.075372	0.041564	0.027014	0.209265	False	
TBME06	GSM6573718	TBME	P6	glial_stroma	DSP-1012300141221	5423817	5414695	5382726	4961540	1746969	18834	0.914769	0.998318	0.647898	0.9925	0.9923	36.62	1910720.14	0.91746	0.772815	0.58805	0.468332	0.378785	0.246443	0.169199	0.097678	0.066224	0.378785	False	
TBME07	GSM6573721	TBME	P7	glial_stroma	DSP-1012300141221	2192505	2182387	2165217	2040108	567304	18834	0.930492	0.995385	0.721925	0.9922	0.9919	30.22	1776284.55	0.87151	0.726757	0.629346	0.545416	0.442388	0.327003	0.2588	0.152509	0.103081	0.442388	False	
TBME09	GSM6573725	TBME	P9	glial_stroma	DSP-1012300141221	663669	660225	656882	610454	175239	18765	0.919817	0.994811	0.712937	0.9923	0.9918	39.35	1589504.64	0.757783	0.64395	0.529154	0.426019	0.343426	0.219964	0.146571	0.063015	0.04012	0.343426	True	raw sequencing reads below threshold (6.637e+05 < 1e+06)
