gene	published_log2fc	reproduced_log2fc	abs_diff_log2fc	published_p	reproduced_p	rel_diff_p	published_q
CTHRC1	1.6266744136810301	1.6266744279038745	1.4222844457734141e-08	0.00052085069243697202	0.00052085023609887862	8.7613993804414037e-07	0.0120810219542297
CD163	1.5648610591888401	1.5648613996557517	3.4046691155253939e-07	0.000661847904870914	0.00066184721891142373	1.0364307044818943e-06	0.0131910944366329
PMP2	-2.5851259231567298	-2.5851259923738583	6.9217128473297862e-08	0.00068738638676090695	0.00068738626396504514	1.786416841120797e-07	0.0133722044750209
THBS1	2.0672533512115399	2.0672443101661937	9.0410453461586826e-06	0.00069492232015176604	0.00069489287629750614	4.2369993603741385e-05	0.013377156802974501
NNMT	1.9591591358184799	1.959159017620264	1.1819821588154866e-07	0.000746225414352142	0.00074622634090789979	1.2416566630424342e-06	0.0137966441668535
RPS2	1.62310910224914	1.623119034556316	9.932307176052646e-06	0.00083839594308601295	0.0008383578737593848	4.5407336404790222e-05	0.0141990787473766
SFRP2	1.9881131649017301	1.9881070363749807	6.1285267494159967e-06	0.0010388777439655	0.0010388301329228734	4.5829302729005761e-05	0.0156180685310351
IGFBP5	1.6885629892349201	1.6885631608931302	1.7165821009079707e-07	0.0011236877359965701	0.001123684985814395	2.4474612358993397e-06	0.016119239900175102
CCN2	1.7225196361541699	1.7225257985184701	6.1623643001773587e-06	0.0011993171427170401	0.0011993628447910416	3.8106746225619048e-05	0.016521611980035301
SNAP25	-2.0459463596343901	-2.0459466348377333	2.7520334322517215e-07	0.0013029221851767899	0.0013029219206106297	2.0305599457426382e-07	0.017181161211697299
MRC1	1.68084108829498	1.6808411429445664	5.4649586411770201e-08	0.0013184189441735601	0.0013184195993385375	4.9693231440883778e-07	0.017236253259667701
CTSZ	1.70509910583496	1.7050987798145005	3.2602045951790615e-07	0.00141736909205041	0.0014173703635168827	8.9706095596220337e-07	0.0175951131245712
FLNA	1.5221738815307599	1.5221739850201121	1.0348935219894884e-07	0.0014401574096394301	0.0014401557528854689	1.1503978316618202e-06	0.0177013430461599
S100A11	1.77452564239501	1.7745287935031069	3.1511080968993355e-06	0.0015879501701584601	0.001587960971690552	6.8021857957401011e-06	0.018336459809210798
NRGN	-1.6703625917434599	-1.6703623881757919	2.0356766805562643e-07	0.0016646395336759	0.0016646411839766266	9.9138623910199897e-07	0.018895225307875501
HEPACAM	-1.5552459955215401	-1.5552457742407224	2.2128081766936702e-07	0.0017024287761639399	0.0017024297327937381	5.6192059938453554e-07	0.019103785096269501
RNASE1	1.66507315635681	1.6650808962810917	7.7399242817133285e-06	0.0018473944777008099	0.001847443045223071	2.6289740955309782e-05	0.019656823995797702
S100B	-1.9702167510986299	-1.9702166052006502	1.4589797969755125e-07	0.0018521260857084401	0.0018521292544706671	1.7108782450758753e-06	0.019673577938817799
CCL18	2.1305551528930602	2.1305552552516804	1.0235862024643438e-07	0.00193936659681487	0.0019393658388354728	3.9083863689892695e-07	0.020040091144730099
TXNIP	1.68069279193878	1.6806970487093764	4.2567705964557945e-06	0.0020725724391345902	0.0020725802018083002	3.7454293819738638e-06	0.020731268993911801
CLU	-3.9746453762054399	-3.9746443646343366	1.0115711033265029e-06	0.0024343990608461101	0.0024344109884927682	4.8996267085765766e-06	0.022225137999315199
DUSP1	1.6246967315673799	1.6246833421698597	1.3389397520269242e-05	0.0024239091295932599	0.0024238718754703743	1.5369438742807162e-05	0.022225137999315199
GPM6B	-1.65742087364196	-1.6574209813435656	1.0770160563389197e-07	0.0024664461546315599	0.0024664448846156068	5.1491736430264723e-07	0.022405350272515601
TUBB4A	-1.5207428932189899	-1.5207430034855731	1.1026658319757132e-07	0.0025422684322792999	0.0025422640976657685	1.7050180367572665e-06	0.0226970908985012
ALDH1L1	-1.5703152418136499	-1.5703153628301694	1.2101651947205028e-07	0.0028874802811848202	0.002887475169519654	1.7702857399992666e-06	0.0239704457623224
GNAO1	-1.56225132942199	-1.5622511181087315	2.1131325844692128e-07	0.0030443974658885399	0.0030443980875930199	2.0421265189973781e-07	0.024485612937611399
THBS2	1.7018249034881501	1.701818285562922	6.6179252280473833e-06	0.0031042410422380301	0.003104122666991171	3.8133394040129609e-05	0.024728073838479799
TIMP3	1.8370132446289	1.8370080848108366	5.1598180634826463e-06	0.0033018254693253399	0.0033018231318801381	7.0792512307793487e-07	0.025423240176703901
KRT7	1.8098231554031301	1.8098232238827388	6.8479608650307e-08	0.0035077890040544099	0.0035077885891264676	1.1828759993726123e-07	0.0262838137999187
LYZ	2.0993947982788002	2.0993930313669775	1.7669118226315561e-06	0.0036429534282618301	0.0036429077518552026	1.2538290024011189e-05	0.026634494373925201
MAOB	-1.7469662427902199	-1.7469662483817565	5.5915365670955453e-09	0.0037589010845282601	0.0037588996820154038	3.7311778755544367e-07	0.027007169782957599
SLC1A3	-1.5941579341888401	-1.5941579643872137	3.0198373579537474e-08	0.0039107284978217704	0.0039107282541698922	6.2303450176770525e-08	0.027592616992452901
TAGLN	1.68515932559967	1.6851632772863088	3.9516866388034089e-06	0.0044476581578468798	0.0044476674205213302	2.0825958564341107e-06	0.029444103863800201
TUBB2B	-1.8397848606109599	-1.8397849349099831	7.4299023156143562e-08	0.0053063582256558496	0.0053063517170521884	1.2265669568911619e-06	0.0322085607235831
IGFBP7	1.65544009208679	1.6554449357101273	4.8436233373028159e-06	0.0067966917856040797	0.0067964945235150518	2.9023250612270068e-05	0.036265599134944697
PLTP	1.5771336555480899	1.5771402794837606	6.6239356706354613e-06	0.0182007368982686	0.01820086971376365	7.2972592148889959e-06	0.061289786073133803
PLP1	-1.9274365901946999	-1.9274366023043639	1.2109663938275617e-08	0.019124691742549198	0.019124695961720086	2.2061379834070749e-07	0.062935418434599197
SERPINA3	-1.88435626029968	-1.8843627491363852	6.4888367052873264e-06	0.025304086749746001	0.025303128885577435	3.7854129178338525e-05	0.073984970564044697
MBP	-2.2230687141418399	-2.2230735995936062	4.8854517662455521e-06	0.035551130024276199	0.035551066034353415	1.7999406134450169e-06	0.0902169642736316
