aoi_label	aoi_code	site	quantum	n_distinct_values	n_genes	lattice_fraction	smallest_value_implied_counts	dcc_median_counts	implied_median_counts	dcc_ratio	dcc_agrees	counts_reliable	negprobe_implied_counts	max_implied_counts
L43	L	lung	2.1700000000000017	400	18694	1	4.9953917050691201	31	30.967741935483847	0.99895941727367243	True	True	22.483870967741918	50935.483870967699
L44	L	lung	1.8999999999999915	454	18694	0.94999999999999996	4.9894736842105489	33	32.942105263158041	0.99824561403509215	True	True	20.410526315789564	29776.315789473818
LB01	LB	brain	1.0999999999999943	698	18694	1	3.9909090909091112	53	53.845454545454821	1.0159519725557513	True	True	25.545454545454678	29174.545454545605
LB02	LB	brain	0.43999999999999773	1340	18694	1	9.9545454545455065	92	92.522727272727749	1.0056818181818235	True	True	38.931818181818379	49184.090909091166
LB03	LB	brain	0.99000000000000199	690	18694	1	10.999999999999979	64	63.969696969696841	0.99952651515151314	True	True	42.828282828282738	37065.656565656493
LB04	LB	brain	0.2900000000000027	1595	18694	1	27.344827586206641	168	171.13793103448117	1.0186781609195308	True	True	95.965517241378407	118424.13793103339
LB05	LB	brain	0.99000000000000199	748	18694	1	4.9999999999999902	52	51.97979797979788	0.99961149961149764	True	True	26.939393939393888	29542.424242424182
LB06	LB	brain	0.54999999999999716	1147	18694	1	17.945454545454638	87	87.74545454545499	1.0085684430512067	True	True	48.618181818182066	40785.454545454755
LB07	LB	brain	0.64000000000000057	1027	18694	1	9.9531249999999911	69	68.640624999999943	0.99479166666666585	True	True	38.281249999999964	35115.624999999971
LB08	LB	brain	0.33999999999999986	1439	18694	1	12.882352941176476	143	142.82352941176478	0.99876593994241103	True	True	76.529411764705912	89117.647058823568
LB09	LB	brain	0.57999999999999829	1082	18694	1	13.000000000000039	84	84.982758620689907	1.0116995073891655	True	True	53.620689655172576	75541.379310345044
LB10	LB	brain	0.53999999999999915	1181	18694	1	8.9814814814814952	85	85.796296296296433	1.0093681917211346	True	True	36.9444444444445	48900.00000000008
LB12	LB	brain	0.46000000000000796	1143	18694	1	25.239130434782172	110	113.08695652173718	1.0280632411067017	True	True	59.49999999999897	93649.999999998385
LB13	LB	brain	0.37000000000000455	1354	18694	1	20.162162162161913	147	149.24324324324141	1.0152601581172884	True	True	106.70270270270139	132035.13513513352
LB14	LB	brain	0.30999999999999872	1447	18694	1	34.74193548387111	172	171.6451612903233	0.99793698424606569	True	True	98.193548387097181	65864.516129032534
LB15	LB	brain	0.48999999999999844	1154	18694	1	16.979591836734748	103	103.89795918367379	1.00871805032693	True	True	67.693877551020634	102353.06122449013
LB16	LB	brain	0.33999999999999986	1358	18694	1	24.058823529411775	150	151.44117647058832	1.0096078431372555	True	True	90.352941176470623	153764.70588235301
LB17	LB	brain	0.57000000000000028	1013	18694	1	19.964912280701746	102	101.82456140350872	0.99828001375988951	True	True	74.22807017543856	117135.08771929819
LB18	LB	brain	1	692	18694	1	8	59	59.530000000000001	1.0089830508474575	True	True	30.98	80776
LB19	LB	brain	0.33000000000001251	1379	18694	1	25.363636363635401	158	161.27272727272117	1.0207134637513997	True	True	100.12121212120833	149812.12121211554
LB20	LB	brain	1.0800000000000125	652	18694	1	12.046296296296157	61	61.212962962962251	1.0034911961141353	True	True	49.675925925925348	161916.66666666479
LB21	LB	brain	0.25999999999999979	1857	18694	1	24.076923076923094	162	164.53846153846169	1.0156695156695166	True	True	97.076923076923151	135253.84615384627
LB24	LB	brain	1.8599999999999994	319	18694	1	8.9892473118279597	39	38.956989247311839	0.99889716018748309	True	True	24.247311827956999	30422.580645161299
LB31	LB	brain	2.1200000000000045	465	18694	0.94999999999999996	0.99999999999999789	26	25.966981132075414	0.99873004354136208	True	True	14.50943396226412	13905.188679245253
LB34	LB	brain	0.93999999999999773	781	18694	1	8.989361702127681	57	57.914893617021413	1.0160507652109019	True	True	37.329787234042648	45908.510638297987
LB35	LB	brain	11.379999999999995	123	18694	1	1.0000000000000004	5	5.0000000000000018	1.0000000000000004	True	True	2.3497363796133577	3879.0861159929718
LB37	LB	brain	0.78000000000000114	794	18694	1	15.089743589743566	81	81.499999999999886	1.0061728395061715	True	True	57.435897435897346	97225.641025640885
LB40	LB	brain	1.2300000000000004	366	18694	1	13.999999999999995	63	63.016260162601611	1.0002580978190732	True	True	37.601626016260148	10583.739837398371
LB44	LB	brain	0.70000000000000284	928	18694	1	9.9999999999999591	84	85.042857142856803	1.0124149659863906	True	True	58.271428571428331	76135.71428571397
TBME01	TBME	brain	1.4200000000000017	401	18694	1	8.0140845070422451	50	50.091549295774584	1.0018309859154917	True	True	31.190140845070385	9176.0563380281583
TBME02	TBME	brain	0.75999999999999801	690	18694	1	8.9868421052631824	85	84.855263157894953	0.99829721362229351	True	True	50.934210526315923	23901.315789473745
TBME03	TBME	brain	2.7599999999999909	295	18694	0.94999999999999996	1.0000000000000031	26	25.989130434782695	0.99958193979933441	True	True	20.449275362318907	36471.01449275374
TBME04	TBME	brain	0.8399999999999892	465	18694	1	10.94047619047633	91	90.488095238096406	0.99437467294611437	True	True	78.952380952381958	38515.476190476686
TBME05	TBME	brain	0.90999999999999659	584	18694	1	10.000000000000037	74	75.032967032967321	1.0139590139590178	True	True	53.725274725274929	54270.329670329877
TBME06	TBME	brain	1.0999999999999943	652	18694	1	8.9727272727273188	56	55.845454545454835	0.99724025974026487	True	True	33.29090909090926	59582.727272727578
TBME07	TBME	brain	3.1399999999999864	367	18694	0.94999999999999996	1.0000000000000044	18	17.99681528662428	0.99982307147912663	True	True	9.6242038216560921	6565.6050955414294
TBME09	TBME	brain	9.1099999999999852	134	18694	0.5	0.99890230515916734	7	6.9956092206366742	0.99937274580523916	True	False	4.3194291986827738	3611.7453347969322
TBME10	TBME	brain	1.2800000000000011	561	18694	1	8.0156249999999929	46	46.085937499999957	1.0018682065217381	True	True	21.046874999999982	11724.218749999989
TBME11	TBME	brain	3.0399999999999636	315	18694	1	1.9967105263158134	22	21.960526315789739	0.99820574162680631	True	True	13.733552631579112	33440.789473684614
TBME13	TBME	brain	1.7199999999999989	227	18694	1	4.994186046511631	45	44.941860465116307	0.99870801033591794	True	True	44.127906976744221	10361.627906976752
TBME15a	TBME	brain	1.6599999999999682	432	18694	1	2.993975903614515	41	40.885542168675485	0.99720834557745086	True	True	28.590361445783682	31622.289156627114
TBME15b	TBME	brain	1.3199999999999932	484	18694	1	6.0000000000000311	53	52.977272727273004	0.99957118353345287	True	True	35.340909090909271	126310.60606060672
TBME16	TBME	brain	0.70999999999999375	511	18694	1	20.873239436619901	107	106.36619718309952	0.99407660918784591	True	True	93.478873239437448	38712.676056338372
TBME17	TBME	brain	0.60999999999999943	520	18694	1	26.049180327868878	128	128.21311475409846	1.0016649590163942	True	True	116.91803278688535	75321.311475409908
TBME18	TBME	brain	0.59000000000000341	600	18694	1	18.033898305084641	127	127.25423728813486	1.0020018684105108	True	True	109.45762711864343	36688.135593220126
TBME19	TBME	brain	1.75	329	18694	1	7.0057142857142853	41	41.017142857142858	1.000418118466899	True	True	33.645714285714284	20615.428571428572
TBME20	TBME	brain	0.87999999999999545	413	18694	1	12.931818181818249	89	88.534090909091361	0.99476506639428497	True	True	82.897727272727707	32977.272727272895
