interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	is_one_to_one	table	ligand_on_panel	receptor_on_panel	ligand_detection	receptor_detection	ligand_min_detection_rate	receptor_min_detection_rate	admitted	status	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
PTN_SDC3	PTN - SDC3	PTN	Secreted Signaling	brain	ligand_immune__receptor_tumour	PTN	SDC3	PTN	SDC3	TIME-B	LB	True	primary	True	True	PTN:5/8	SDC3:15/27	0.625	0.5555555555555556	True	admitted	growth factor	False		PMID: 28356350; PMID: 25620911
PTN_SDC4	PTN - SDC4	PTN	Secreted Signaling	brain	ligand_immune__receptor_tumour	PTN	SDC4	PTN	SDC4	TIME-B	LB	True	primary	True	True	PTN:5/8	SDC4:26/27	0.625	0.9629629629629629	True	admitted	growth factor	False		PMID: 28356350; PMID: 25620911
PTN_NCL	PTN - NCL	PTN	Secreted Signaling	brain	ligand_immune__receptor_tumour	PTN	NCL	PTN	NCL	TIME-B	LB	True	primary	True	True	PTN:5/8	NCL:26/27	0.625	0.9629629629629629	True	admitted	growth factor	False		PMID: 28356350; PMID: 25620911
C3_C3AR1	C3 - C3AR1	COMPLEMENT	Secreted Signaling	brain	ligand_tumour__receptor_immune	C3	C3AR1	C3	C3AR1	LB	TIME-B	True	primary	True	True	C3:16/27	C3AR1:7/8	0.5925925925925926	0.875	True	admitted	secreted	False	True	KEGG: hsa04080
C3_C3AR1	C3 - C3AR1	COMPLEMENT	Secreted Signaling	lung	ligand_tumour__receptor_immune	C3	C3AR1	C3	C3AR1	L	TIME-L	True	primary	True	True	C3:27/30	C3AR1:12/15	0.9	0.8	True	admitted	secreted	False	True	KEGG: hsa04080
NPFF_NPFFR1	NPFF - NPFFR1	NPFF	Secreted Signaling	lung	ligand_tumour__receptor_immune	NPFF	NPFFR1	NPFF	NPFFR1	L	TIME-L	True	primary	True	True	NPFF:23/30	NPFFR1:8/15	0.7666666666666667	0.5333333333333333	True	admitted	neuropeptide	False	True	KEGG: hsa04080
GZMA_PARD3	GZMA - PARD3	PARs	Secreted Signaling	lung	ligand_immune__receptor_tumour	GZMA	PARD3	GZMA	PARD3	TIME-L	L	True	primary	True	True	GZMA:8/15	PARD3:15/30	0.5333333333333333	0.5	True	admitted				KEGG: hsa04080
SEMA3C_PLXND1	SEMA3C - PLXND1	SEMA3	Secreted Signaling	lung	ligand_tumour__receptor_immune	SEMA3C	PLXND1	SEMA3C	PLXND1	L	TIME-L	True	primary	True	True	SEMA3C:17/30	PLXND1:15/15	0.5666666666666667	1.0	True	admitted	secreted	False	True	PMID: 27533782
ANXA1_FPR1	ANXA1 - FPR1	ANNEXIN	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANXA1	FPR1	ANXA1	FPR1	LB	TIME-B	True	primary	True	True	ANXA1:25/27	FPR1:6/8	0.9259259259259259	0.75	True	admitted	secreted	False	True	PMID: 23230437
ANXA1_FPR1	ANXA1 - FPR1	ANNEXIN	Secreted Signaling	lung	ligand_tumour__receptor_immune	ANXA1	FPR1	ANXA1	FPR1	L	TIME-L	True	primary	True	True	ANXA1:30/30	FPR1:8/15	1.0	0.5333333333333333	True	admitted	secreted	False	True	PMID: 23230437
GAS6_TYRO3	GAS6 - TYRO3	GAS	Secreted Signaling	brain	ligand_immune__receptor_tumour	GAS6	TYRO3	GAS6	TYRO3	TIME-B	LB	True	primary	True	True	GAS6:7/8	TYRO3:16/27	0.875	0.5925925925925926	True	admitted	secreted	False	True	PMID: 27801848
GAS6_TYRO3	GAS6 - TYRO3	GAS	Secreted Signaling	lung	ligand_immune__receptor_tumour	GAS6	TYRO3	GAS6	TYRO3	TIME-L	L	True	primary	True	True	GAS6:15/15	TYRO3:15/30	1.0	0.5	True	admitted	secreted	False	True	PMID: 27801848
GRN_SORT1	GRN - SORT1	GRN	Secreted Signaling	brain	ligand_tumour__receptor_immune	GRN	SORT1	GRN	SORT1	LB	TIME-B	True	primary	True	True	GRN:26/27	SORT1:6/8	0.9629629629629629	0.75	True	admitted			True	PMID: 29555433
GRN_SORT1	GRN - SORT1	GRN	Secreted Signaling	brain	ligand_immune__receptor_tumour	GRN	SORT1	GRN	SORT1	TIME-B	LB	True	primary	True	True	GRN:8/8	SORT1:20/27	1.0	0.7407407407407407	True	admitted			True	PMID: 29555433
GRN_SORT1	GRN - SORT1	GRN	Secreted Signaling	lung	ligand_immune__receptor_tumour	GRN	SORT1	GRN	SORT1	TIME-L	L	True	primary	True	True	GRN:15/15	SORT1:20/30	1.0	0.6666666666666666	True	admitted			True	PMID: 29555433
PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	brain	ligand_tumour__receptor_immune	PROS1	AXL	PROS1	AXL	LB	TIME-B	True	primary	True	True	PROS1:17/27	AXL:8/8	0.6296296296296297	1.0	True	admitted			True	PMID: 29531161
PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	lung	ligand_tumour__receptor_immune	PROS1	AXL	PROS1	AXL	L	TIME-L	True	primary	True	True	PROS1:16/30	AXL:14/15	0.5333333333333333	0.9333333333333333	True	admitted			True	PMID: 29531161
PROS1_TYRO3	PROS1 - TYRO3	PROS	Secreted Signaling	brain	ligand_tumour__receptor_immune	PROS1	TYRO3	PROS1	TYRO3	LB	TIME-B	True	primary	True	True	PROS1:17/27	TYRO3:4/8	0.6296296296296297	0.5	True	admitted			True	PMID: 30501104
PROS1_TYRO3	PROS1 - TYRO3	PROS	Secreted Signaling	brain	ligand_immune__receptor_tumour	PROS1	TYRO3	PROS1	TYRO3	TIME-B	LB	True	primary	True	True	PROS1:5/8	TYRO3:16/27	0.625	0.5925925925925926	True	admitted			True	PMID: 30501104
PROS1_TYRO3	PROS1 - TYRO3	PROS	Secreted Signaling	lung	ligand_immune__receptor_tumour	PROS1	TYRO3	PROS1	TYRO3	TIME-L	L	True	primary	True	True	PROS1:14/15	TYRO3:15/30	0.9333333333333333	0.5	True	admitted			True	PMID: 30501104
SCT_SCTR	SCT - SCTR	SCT	Secreted Signaling	lung	ligand_immune__receptor_tumour	SCT	SCTR	SCT	SCTR	TIME-L	L	True	primary	True	True	SCT:9/15	SCTR:20/30	0.6	0.6666666666666666	True	admitted	hormone	False	True	KEGG: hsa04080
SLURP1_CHRNB4	SLURP1 - CHRNB4	SLURP	Secreted Signaling	brain	ligand_tumour__receptor_immune	SLURP1	CHRNB4	SLURP1	CHRNB4	LB	TIME-B	True	primary	True	True	SLURP1:27/27	CHRNB4:6/8	1.0	0.75	True	admitted			True	KEGG: hsa04080
SLURP1_CHRNB4	SLURP1 - CHRNB4	SLURP	Secreted Signaling	brain	ligand_immune__receptor_tumour	SLURP1	CHRNB4	SLURP1	CHRNB4	TIME-B	LB	True	primary	True	True	SLURP1:7/8	CHRNB4:17/27	0.875	0.6296296296296297	True	admitted			True	KEGG: hsa04080
SLURP1_CHRNB4	SLURP1 - CHRNB4	SLURP	Secreted Signaling	lung	ligand_tumour__receptor_immune	SLURP1	CHRNB4	SLURP1	CHRNB4	L	TIME-L	True	primary	True	True	SLURP1:30/30	CHRNB4:11/15	1.0	0.7333333333333333	True	admitted			True	KEGG: hsa04080
SLURP1_CHRNB4	SLURP1 - CHRNB4	SLURP	Secreted Signaling	lung	ligand_immune__receptor_tumour	SLURP1	CHRNB4	SLURP1	CHRNB4	TIME-L	L	True	primary	True	True	SLURP1:14/15	CHRNB4:22/30	0.9333333333333333	0.7333333333333333	True	admitted			True	KEGG: hsa04080
SLURP1_CHRNE	SLURP1 - CHRNE	SLURP	Secreted Signaling	lung	ligand_tumour__receptor_immune	SLURP1	CHRNE	SLURP1	CHRNE	L	TIME-L	True	primary	True	True	SLURP1:30/30	CHRNE:9/15	1.0	0.6	True	admitted			True	KEGG: hsa04080
FN1_CD44	FN1 - CD44	FN1	ECM-Receptor	brain	ligand_tumour__receptor_immune	FN1	CD44	FN1	CD44	LB	TIME-B	True	primary	True	True	FN1:23/27	CD44:8/8	0.8518518518518519	1.0	True	admitted	secreted	False	True	KEGG: hsa04512
FN1_CD44	FN1 - CD44	FN1	ECM-Receptor	brain	ligand_immune__receptor_tumour	FN1	CD44	FN1	CD44	TIME-B	LB	True	primary	True	True	FN1:8/8	CD44:25/27	1.0	0.9259259259259259	True	admitted	secreted	False	True	KEGG: hsa04512
FN1_CD44	FN1 - CD44	FN1	ECM-Receptor	lung	ligand_tumour__receptor_immune	FN1	CD44	FN1	CD44	L	TIME-L	True	primary	True	True	FN1:29/30	CD44:15/15	0.9666666666666667	1.0	True	admitted	secreted	False	True	KEGG: hsa04512
