cohort	signature	method	group	time_months	survival
TCGA-LUAD	myeloid_m2	zscore	low	18.069815195071868	0.78208963197784187
TCGA-LUAD	myeloid_m2	zscore	low	18.135523613963038	0.78208963197784187
TCGA-LUAD	myeloid_m2	zscore	low	18.431211498973305	0.7768052425725861
TCGA-LUAD	myeloid_m2	zscore	low	18.529774127310063	0.7768052425725861
TCGA-LUAD	myeloid_m2	zscore	low	18.562628336755647	0.7768052425725861
TCGA-LUAD	myeloid_m2	zscore	low	18.628336755646817	0.7768052425725861
TCGA-LUAD	myeloid_m2	zscore	low	18.661190965092402	0.7768052425725861
TCGA-LUAD	myeloid_m2	zscore	low	18.989733059548254	0.7768052425725861
TCGA-LUAD	myeloid_m2	zscore	low	19.252566735112936	0.77129598553306422
TCGA-LUAD	myeloid_m2	zscore	low	19.449691991786448	0.77129598553306422
TCGA-LUAD	myeloid_m2	zscore	low	19.482546201232033	0.76574709355081194
TCGA-LUAD	myeloid_m2	zscore	low	19.515400410677618	0.76019820156855966
TCGA-LUAD	myeloid_m2	zscore	low	19.581108829568787	0.76019820156855966
TCGA-LUAD	myeloid_m2	zscore	low	19.811088295687885	0.76019820156855966
TCGA-LUAD	myeloid_m2	zscore	low	19.876796714579054	0.76019820156855966
TCGA-LUAD	myeloid_m2	zscore	low	19.942505133470227	0.75452508066133162
TCGA-LUAD	myeloid_m2	zscore	low	19.975359342915812	0.75452508066133162
TCGA-LUAD	myeloid_m2	zscore	low	20.041067761806982	0.75452508066133162
TCGA-LUAD	myeloid_m2	zscore	low	20.271047227926079	0.75452508066133162
TCGA-LUAD	myeloid_m2	zscore	low	20.533880903490761	0.74867604902829799
TCGA-LUAD	myeloid_m2	zscore	low	20.566735112936346	0.74282701739526436
TCGA-LUAD	myeloid_m2	zscore	low	20.632443531827516	0.73693156487625433
TCGA-LUAD	myeloid_m2	zscore	low	20.698151950718685	0.73693156487625433
TCGA-LUAD	myeloid_m2	zscore	low	21.388090349075977	0.73693156487625433
TCGA-LUAD	myeloid_m2	zscore	low	21.420944558521562	0.73693156487625433
TCGA-LUAD	myeloid_m2	zscore	low	21.453798767967147	0.73084122136488039
TCGA-LUAD	myeloid_m2	zscore	low	21.552361396303901	0.72469969849626792
TCGA-LUAD	myeloid_m2	zscore	low	21.880903490759753	0.71855817562765545
TCGA-LUAD	myeloid_m2	zscore	low	22.242299794661189	0.71241665275904298
TCGA-LUAD	myeloid_m2	zscore	low	22.636550308008214	0.71241665275904298
TCGA-LUAD	myeloid_m2	zscore	low	22.669404517453799	0.71241665275904298
TCGA-LUAD	myeloid_m2	zscore	low	22.702258726899384	0.71241665275904298
TCGA-LUAD	myeloid_m2	zscore	low	23.589322381930184	0.71241665275904298
TCGA-LUAD	myeloid_m2	zscore	low	23.786447638603697	0.71241665275904298
TCGA-LUAD	myeloid_m2	zscore	low	23.917864476386036	0.71241665275904298
TCGA-LUAD	myeloid_m2	zscore	low	24.016427104722794	0.70588072016492331
TCGA-LUAD	myeloid_m2	zscore	low	24.312114989733061	0.70588072016492331
TCGA-LUAD	myeloid_m2	zscore	low	24.969199178644764	0.69928370408861562
TCGA-LUAD	myeloid_m2	zscore	low	25.002053388090349	0.69928370408861562
TCGA-LUAD	myeloid_m2	zscore	low	25.987679671457904	0.69928370408861562
TCGA-LUAD	myeloid_m2	zscore	low	26.480492813141684	0.69928370408861562
TCGA-LUAD	myeloid_m2	zscore	low	26.513347022587268	0.69249454191299797
TCGA-LUAD	myeloid_m2	zscore	low	27.071868583162217	0.69249454191299797
TCGA-LUAD	myeloid_m2	zscore	low	27.137577002053387	0.68563816030989899
TCGA-LUAD	myeloid_m2	zscore	low	27.170431211498972	0.68563816030989899
TCGA-LUAD	myeloid_m2	zscore	low	27.663244353182751	0.68563816030989899
TCGA-LUAD	myeloid_m2	zscore	low	27.761806981519506	0.68563816030989899
TCGA-LUAD	myeloid_m2	zscore	low	28.090349075975361	0.67856972566752893
TCGA-LUAD	myeloid_m2	zscore	low	28.320328542094455	0.67856972566752893
TCGA-LUAD	myeloid_m2	zscore	low	28.353182751540039	0.67856972566752893
TCGA-LUAD	myeloid_m2	zscore	low	28.386036960985628	0.67856972566752893
TCGA-LUAD	myeloid_m2	zscore	low	28.550308008213552	0.67127327700443729
TCGA-LUAD	myeloid_m2	zscore	low	28.977412731006162	0.67127327700443729
TCGA-LUAD	myeloid_m2	zscore	low	29.207392197125255	0.67127327700443729
TCGA-LUAD	myeloid_m2	zscore	low	29.437371663244353	0.65618848426276455
TCGA-LUAD	myeloid_m2	zscore	low	29.733059548254619	0.64864608789192824
TCGA-LUAD	myeloid_m2	zscore	low	29.897330595482547	0.64864608789192824
TCGA-LUAD	myeloid_m2	zscore	low	29.963039014373717	0.64864608789192824
TCGA-LUAD	myeloid_m2	zscore	low	30.55441478439425	0.64864608789192824
TCGA-LUAD	myeloid_m2	zscore	low	30.817248459958932	0.64864608789192824
TCGA-LUAD	myeloid_m2	zscore	low	31.014373716632445	0.64864608789192824
TCGA-LUAD	myeloid_m2	zscore	low	31.112936344969199	0.64864608789192824
TCGA-LUAD	myeloid_m2	zscore	low	31.178644763860369	0.64053801179327918
TCGA-LUAD	myeloid_m2	zscore	low	31.211498973305954	0.63232598600105772
TCGA-LUAD	myeloid_m2	zscore	low	32.06570841889117	0.62411396020883614
TCGA-LUAD	myeloid_m2	zscore	low	32.821355236139631	0.61590193441661456
TCGA-LUAD	myeloid_m2	zscore	low	33.281314168377826	0.61590193441661456
TCGA-LUAD	myeloid_m2	zscore	low	34.168377823408626	0.61590193441661456
TCGA-LUAD	myeloid_m2	zscore	low	34.266940451745377	0.60746492161638688
TCGA-LUAD	myeloid_m2	zscore	low	34.82546201232033	0.60746492161638688
TCGA-LUAD	myeloid_m2	zscore	low	35.186858316221766	0.60746492161638688
TCGA-LUAD	myeloid_m2	zscore	low	35.219712525667354	0.60746492161638688
TCGA-LUAD	myeloid_m2	zscore	low	35.252566735112936	0.59866108217267111
TCGA-LUAD	myeloid_m2	zscore	low	35.515400410677621	0.58985724272895534
TCGA-LUAD	myeloid_m2	zscore	low	36.041067761806978	0.58985724272895534
TCGA-LUAD	myeloid_m2	zscore	low	36.632443531827512	0.5809200117785166
TCGA-LUAD	myeloid_m2	zscore	low	36.993839835728956	0.5809200117785166
TCGA-LUAD	myeloid_m2	zscore	low	37.289527720739223	0.57169905921060371
TCGA-LUAD	myeloid_m2	zscore	low	37.716632443531829	0.57169905921060371
TCGA-LUAD	myeloid_m2	zscore	low	38.012320328542096	0.57169905921060371
TCGA-LUAD	myeloid_m2	zscore	low	38.340862422997944	0.56217074155709357
TCGA-LUAD	myeloid_m2	zscore	low	38.47227926078029	0.55264242390358354
TCGA-LUAD	myeloid_m2	zscore	low	38.603696098562629	0.55264242390358354
TCGA-LUAD	myeloid_m2	zscore	low	38.702258726899387	0.55264242390358354
TCGA-LUAD	myeloid_m2	zscore	low	39.063655030800824	0.55264242390358354
TCGA-LUAD	myeloid_m2	zscore	low	39.227926078028744	0.54240830494240611
TCGA-LUAD	myeloid_m2	zscore	low	39.326488706365502	0.53217418598122868
TCGA-LUAD	myeloid_m2	zscore	low	39.917864476386036	0.52194006702005113
TCGA-LUAD	myeloid_m2	zscore	low	39.950718685831625	0.52194006702005113
TCGA-LUAD	myeloid_m2	zscore	low	40.377823408624231	0.51150126567965015
TCGA-LUAD	myeloid_m2	zscore	low	40.57494866529774	0.50106246433924917
TCGA-LUAD	myeloid_m2	zscore	low	40.936344969199176	0.50106246433924917
TCGA-LUAD	myeloid_m2	zscore	low	41.330595482546201	0.49040156084266939
TCGA-LUAD	myeloid_m2	zscore	low	41.659137577002056	0.47974065734608962
TCGA-LUAD	myeloid_m2	zscore	low	41.790554414784395	0.47974065734608962
TCGA-LUAD	myeloid_m2	zscore	low	42.349075975359341	0.47974065734608962
TCGA-LUAD	myeloid_m2	zscore	low	42.480492813141687	0.4685838978729247
TCGA-LUAD	myeloid_m2	zscore	low	43.498973305954827	0.4685838978729247
TCGA-LUAD	myeloid_m2	zscore	low	43.794661190965094	0.4685838978729247
TCGA-LUAD	myeloid_m2	zscore	low	44.911704312114992	0.4685838978729247
TCGA-LUAD	myeloid_m2	zscore	low	45.30595482546201	0.45656892613259331
TCGA-LUAD	myeloid_m2	zscore	low	47.770020533880903	0.44455395439226192
TCGA-LUAD	myeloid_m2	zscore	low	48.591375770020534	0.44455395439226192
TCGA-LUAD	myeloid_m2	zscore	low	49.01848049281314	0.4322052334369213
TCGA-LUAD	myeloid_m2	zscore	low	49.215605749486656	0.41985651248158068
TCGA-LUAD	myeloid_m2	zscore	low	50.201232032854207	0.40750779152624006
TCGA-LUAD	myeloid_m2	zscore	low	50.299794661190965	0.39515907057089944
TCGA-LUAD	myeloid_m2	zscore	low	51.219712525667354	0.39515907057089944
TCGA-LUAD	myeloid_m2	zscore	low	53.125256673511295	0.39515907057089944
TCGA-LUAD	myeloid_m2	zscore	low	53.256673511293634	0.39515907057089944
TCGA-LUAD	myeloid_m2	zscore	low	53.289527720739223	0.38153289572362709
TCGA-LUAD	myeloid_m2	zscore	low	53.618069815195071	0.36790672087635468
TCGA-LUAD	myeloid_m2	zscore	low	54.308008213552363	0.35428054602908232
TCGA-LUAD	myeloid_m2	zscore	low	55.852156057494867	0.35428054602908232
TCGA-LUAD	myeloid_m2	zscore	low	58.809034907597535	0.340109324187919
TCGA-LUAD	myeloid_m2	zscore	low	60.681724845995895	0.340109324187919
TCGA-LUAD	myeloid_m2	zscore	low	64.558521560574945	0.340109324187919
TCGA-LUAD	myeloid_m2	zscore	low	64.854209445585212	0.340109324187919
TCGA-LUAD	myeloid_m2	zscore	low	67.843942505133469	0.340109324187919
TCGA-LUAD	myeloid_m2	zscore	low	70.997946611909654	0.340109324187919
TCGA-LUAD	myeloid_m2	zscore	low	73.067761806981522	0.340109324187919
TCGA-LUAD	myeloid_m2	zscore	low	73.856262833675558	0.340109324187919
TCGA-LUAD	myeloid_m2	zscore	low	76.156057494866531	0.32010289335333553
TCGA-LUAD	myeloid_m2	zscore	low	77.798767967145793	0.32010289335333553
TCGA-LUAD	myeloid_m2	zscore	low	80.459958932238195	0.32010289335333553
TCGA-LUAD	myeloid_m2	zscore	low	85.946611909650926	0.32010289335333553
TCGA-LUAD	myeloid_m2	zscore	low	86.078028747433265	0.29547959386461742
TCGA-LUAD	myeloid_m2	zscore	low	87.917864476386043	0.29547959386461742
TCGA-LUAD	myeloid_m2	zscore	low	88.082135523613957	0.26861781260419765
TCGA-LUAD	myeloid_m2	zscore	low	88.57494866529774	0.26861781260419765
TCGA-LUAD	myeloid_m2	zscore	low	93.043121149897331	0.26861781260419765
TCGA-LUAD	myeloid_m2	zscore	low	100.50102669404518	0.26861781260419765
TCGA-LUAD	myeloid_m2	zscore	low	110.42299794661191	0.23024383937502657
TCGA-LUAD	myeloid_m2	zscore	low	119.42505133470226	0.23024383937502657
TCGA-LUAD	myeloid_m2	zscore	low	129.44558521560575	0.23024383937502657
TCGA-LUAD	myeloid_m2	zscore	low	162.98973305954826	0.17268287953126993
TCGA-LUAD	myeloid_m2	zscore	low	221.17453798767968	0.17268287953126993
TCGA-LUAD	myeloid_m2	zscore	low	232.01642710472279	0.17268287953126993
TCGA-LUAD	myeloid_m2	zscore	low	238.12731006160163	0.17268287953126993
TCGA-LUAD	tls	ssgsea	high	0.45995893223819301	1
TCGA-LUAD	tls	ssgsea	high	0.49281314168377821	1
TCGA-LUAD	tls	ssgsea	high	0.59137577002053388	0.99598393574297184
TCGA-LUAD	tls	ssgsea	high	0.62422997946611913	0.99196787148594368
TCGA-LUAD	tls	ssgsea	high	0.7227926078028748	0.98795180722891551
TCGA-LUAD	tls	ssgsea	high	0.91991786447638602	0.98795180722891551
TCGA-LUAD	tls	ssgsea	high	1.0841889117043122	0.98391935087287907
TCGA-LUAD	tls	ssgsea	high	1.1498973305954825	0.98391935087287907
TCGA-LUAD	tls	ssgsea	high	1.1827515400410678	0.98391935087287907
TCGA-LUAD	tls	ssgsea	high	1.4455852156057496	0.98391935087287907
TCGA-LUAD	tls	ssgsea	high	1.5770020533880904	0.98391935087287907
TCGA-LUAD	tls	ssgsea	high	1.9712525667351128	0.98391935087287907
TCGA-LUAD	tls	ssgsea	high	2.5954825462012319	0.98391935087287907
TCGA-LUAD	tls	ssgsea	high	2.7597535934291582	0.98391935087287907
TCGA-LUAD	tls	ssgsea	high	3.8767967145790556	0.97975020108104482
TCGA-LUAD	tls	ssgsea	high	3.9096509240246409	0.97975020108104482
TCGA-LUAD	tls	ssgsea	high	3.9753593429158109	0.97556323440975834
TCGA-LUAD	tls	ssgsea	high	4.2381930184804926	0.97556323440975834
TCGA-LUAD	tls	ssgsea	high	4.3696098562628336	0.97556323440975834
TCGA-LUAD	tls	ssgsea	high	4.4024640657084193	0.97556323440975834
TCGA-LUAD	tls	ssgsea	high	4.6324435318275157	0.97556323440975834
TCGA-LUAD	tls	ssgsea	high	5.0595482546201236	0.9713031329494537
TCGA-LUAD	tls	ssgsea	high	5.3880903490759753	0.96704303148914905
TCGA-LUAD	tls	ssgsea	high	5.420944558521561	0.96704303148914905
TCGA-LUAD	tls	ssgsea	high	5.4866529774127306	0.9627640800223829
TCGA-LUAD	tls	ssgsea	high	5.6180698151950716	0.95848512855561674
TCGA-LUAD	tls	ssgsea	high	5.7823408624229984	0.95420617708885058
TCGA-LUAD	tls	ssgsea	high	5.8809034907597537	0.95420617708885058
TCGA-LUAD	tls	ssgsea	high	5.979466119096509	0.95420617708885058
TCGA-LUAD	tls	ssgsea	high	6.1108829568788501	0.95420617708885058
TCGA-LUAD	tls	ssgsea	high	6.1437371663244349	0.94986887628390126
TCGA-LUAD	tls	ssgsea	high	6.2094455852156054	0.94553157547895195
TCGA-LUAD	tls	ssgsea	high	6.3408624229979464	0.94119427467400263
TCGA-LUAD	tls	ssgsea	high	7.3593429158110881	0.94119427467400263
TCGA-LUAD	tls	ssgsea	high	7.3921971252566738	0.94119427467400263
TCGA-LUAD	tls	ssgsea	high	7.5564681724845997	0.94119427467400263
TCGA-LUAD	tls	ssgsea	high	7.786447638603696	0.93679617058674103
TCGA-LUAD	tls	ssgsea	high	8.4435318275154003	0.93239806649947943
TCGA-LUAD	tls	ssgsea	high	8.4763860369609851	0.92799996241221772
TCGA-LUAD	tls	ssgsea	high	8.5420944558521565	0.92799996241221772
TCGA-LUAD	tls	ssgsea	high	8.6735112936344976	0.92799996241221772
TCGA-LUAD	tls	ssgsea	high	8.8049281314168386	0.92355977120450372
TCGA-LUAD	tls	ssgsea	high	9.0020533880903493	0.91911957999678973
TCGA-LUAD	tls	ssgsea	high	9.2648870636550313	0.91467938878907573
TCGA-LUAD	tls	ssgsea	high	9.3634496919917858	0.91467938878907573
TCGA-LUAD	tls	ssgsea	high	10.086242299794661	0.91021753811205586
TCGA-LUAD	tls	ssgsea	high	10.546201232032855	0.9057337078750507
TCGA-LUAD	tls	ssgsea	high	11.137577002053389	0.90124987763804554
TCGA-LUAD	tls	ssgsea	high	11.268993839835728	0.89676604740104038
TCGA-LUAD	tls	ssgsea	high	11.53182751540041	0.89676604740104038
TCGA-LUAD	tls	ssgsea	high	11.597535934291582	0.89676604740104038
TCGA-LUAD	tls	ssgsea	high	11.630390143737166	0.89676604740104038
TCGA-LUAD	tls	ssgsea	high	11.991786447638603	0.89676604740104038
TCGA-LUAD	tls	ssgsea	high	12.2217659137577	0.89676604740104038
TCGA-LUAD	tls	ssgsea	high	12.386036960985626	0.89676604740104038
TCGA-LUAD	tls	ssgsea	high	12.648870636550308	0.89676604740104038
TCGA-LUAD	tls	ssgsea	high	13.437371663244353	0.89211959119688988
TCGA-LUAD	tls	ssgsea	high	13.503080082135524	0.89211959119688988
TCGA-LUAD	tls	ssgsea	high	13.634496919917865	0.89211959119688988
TCGA-LUAD	tls	ssgsea	high	13.66735112936345	0.89211959119688988
TCGA-LUAD	tls	ssgsea	high	13.86447638603696	0.89211959119688988
TCGA-LUAD	tls	ssgsea	high	13.897330595482547	0.89211959119688988
TCGA-LUAD	tls	ssgsea	high	13.930184804928132	0.89211959119688988
TCGA-LUAD	tls	ssgsea	high	13.995893223819301	0.89211959119688988
TCGA-LUAD	tls	ssgsea	high	14.061601642710473	0.88727111515777635
TCGA-LUAD	tls	ssgsea	high	14.094455852156058	0.88242263911866281
TCGA-LUAD	tls	ssgsea	high	14.258726899383984	0.87757416307954927
TCGA-LUAD	tls	ssgsea	high	14.291581108829568	0.87757416307954927
TCGA-LUAD	tls	ssgsea	high	14.521560574948666	0.87757416307954927
TCGA-LUAD	tls	ssgsea	high	14.718685831622176	0.87757416307954927
TCGA-LUAD	tls	ssgsea	high	14.948665297741274	0.87757416307954927
TCGA-LUAD	tls	ssgsea	high	15.014373716632443	0.87261611696045582
TCGA-LUAD	tls	ssgsea	high	15.112936344969199	0.86762973914925323
TCGA-LUAD	tls	ssgsea	high	15.24435318275154	0.86264336133805064
TCGA-LUAD	tls	ssgsea	high	15.408624229979466	0.85765698352684794
TCGA-LUAD	tls	ssgsea	high	15.638603696098563	0.85765698352684794
